"isolate_id","collection_year"
"CH40d111_I2",2006
"CH40d181_B2",2007
"CH40d181_D1",2007
"CH40d181_D10",2007
"CH40d181_D5",2007
"CH40d181_D7",2007
"CH40d181_D8",2007
"CH40d181_D9",2007
"CH40d181_G3",2007
"CH40d181_H1",2007
"CH40d181_H2",2007
"CH40d181_H3",2007
"CH40d181_H4",2007
"CH40d181_H6",2007
"CH40d181_H7",2007
"CH40d181_I1",2007
"CH40d181_I2",2007
"CH40d181_I5",2007
"CH40d181_I6",2007
"CH40d181_J1",2007
"CH40d181_J10",2007
"CH40d181_J3",2007
"CH40d181_J7",2007
"CH40d412_C1",2007
"CH40d412_C3",2007
"CH40d412_D10",2007
"CH40d412_D12",2007
"CH40d412_D13",2007
"CH40d412_D18",2007
"CH40d412_D19",2007
"CH40d412_D3",2007
"CH40d412_D4",2007
"CH40d412_D5",2007
"CH40d412_D7",2007
"CH40d412_D8",2007
"CH40d412_G3",2007
"CH40d412_G4",2007
"CH40d412_G5",2007
"CH40d412_G7",2007
"CH40d412_G9",2007
"CH40d412_H15",2007
"CH40d412_H2",2007
"CH40d412_H3",2007
"CH40d412_H7",2007
"CH40d412_H9",2007
"CH40d412_I11",2007
"CH40d45_A1",2006
"CH40d45_A2",2006
"CH40d45_A3",2006
"CH40d45_B1",2006
"CH40d45_B2",2006
"CH40d45_C1",2006
"CH40d45_C2",2006
"CH40d45_C7",2006
"CH40d45_D14",2006
"CH40d45_D16",2006
"CH40d45_D17",2006
"CH40d45_D18",2006
"CH40d45_D2",2006
"CH40d45_D7",2006
"CH40d45_I10",2006
"CH40d45_I11",2006
"CH40d45_I12",2006
"CH40d45_I13",2006
"CH40d45_I14",2006
"CH40d45_I15",2006
"CH40d45_I16",2006
"CH40d45_I3",2006
"CH40d45_I4",2006
"CH40d45_I6",2006
"CH40d45_I7",2006
"CH40d45_I9",2006
"CH40d45_L1",2006
"CH40d45_L2",2006
"CH40d45_L3",2006
"CH40d45_L4",2006
"CH40d45_M1",2006
"CH40d45_M10",2006
"CH40d45_M11",2006
"CH40d45_M12",2006
"CH40d45_M13",2006
"CH40d45_M2",2006
"CH40d45_M3",2006
"CH40d45_M4",2006
"CH40d45_M5",2006
"CH40d45_M6",2006
"CH40d45_M7",2006
"CH40d45_M8",2006
"CH40d45_M9",2006
"CH40E_flA1",2006
"CH40E_flA2",2006
"CH40E_flA3",2006
"CH40E_flC7",2006
"CH40E_flF10",2006
"CH40E_flF7",2006
"CH40E_flF9",2006
"CH40E_flG3",2006
"CH40E_flG6",2006
"CH40E_L1",2006
"CH40E_L2",2006
"CH40E_L3",2006
"CH40E_M1",2006
"CH40E_M10",2006
"CH40E_M11",2006
"CH40E_M2",2006
"CH40E_M3",2006
"CH40E_M4",2006
"CH40E_M5",2006
"CH40E_M6",2006
"CH40E_M7",2006
"CH40E_M8",2006
"CH40E_M9",2006
"CH40E_N11",2006
"CH40E_N12",2006
"CH40E_N13",2006
"CH40E_N14",2006
"CH40S_L1",2006
"CH40S_L3",2006
"CH40S_L4",2006
"CH40S_L5",2006
"CH40S_L6",2006
"CH40S_L7",2006
"CH40S_M1",2006
"CH40S_M10",2006
"CH40S_M11",2006
"CH40S_M14",2006
"CH40S_M15",2006
"CH40S_M16",2006
"CH40S_M17",2006
"CH40S_M18",2006
"CH40S_M19",2006
"CH40S_M2",2006
"CH40S_M20",2006
"CH40S_M21",2006
"CH40S_M22",2006
"CH40S_M3",2006
"CH40S_M4",2006
"CH40S_M5",2006
"CH40S_M6",2006
"CH40S_M7",2006
"CH40S_M8",2006
"CH40S_M9",2006
"CH427",2008
"CH427_SGA.600.1",2008
"CH427_SGA.600.10",2008
"CH427_SGA.600.11",2008
"CH427_SGA.600.12",2008
"CH427_SGA.600.13",2008
"CH427_SGA.600.14",2008
"CH427_SGA.600.15",2008
"CH427_SGA.600.16",2008
"CH427_SGA.600.18",2008
"CH427_SGA.600.19",2008
"CH427_SGA.600.2",2008
"CH427_SGA.600.20",2008
"CH427_SGA.600.21",2008
"CH427_SGA.600.22",2008
"CH427_SGA.600.24",2008
"CH427_SGA.600.25",2008
"CH427_SGA.600.26",2008
"CH427_SGA.600.27",2008
"CH427_SGA.600.29",2008
"CH427_SGA.600.3",2008
"CH427_SGA.600.30",2008
"CH427_SGA.600.31",2008
"CH427_SGA.600.32",2008
"CH427_SGA.600.33",2008
"CH427_SGA.600.35",2008
"CH427_SGA.600.36",2008
"CH427_SGA.600.37",2008
"CH427_SGA.600.39",2008
"CH427_SGA.600.4",2008
"CH427_SGA.600.6",2008
"CH427_SGA.600.7",2008
"CH427_SGA.600.8",2008
"CH427_SGA.600.9",2008
"CH455",2008
"CH455_SGA.5.01",2008
"CH455_SGA.5.05",2008
"CH455_SGA.5.06",2008
"CH455_SGA.5.07",2008
"CH455_SGA.5.08",2008
"CH455_SGA.5.09",2008
"CH455_SGA.5.11",2008
"CH455_SGA.5.12",2008
"CH455_SGA.5.14",2008
"CH455_SGA.5.15",2008
"CH455_SGA.5.19",2008
"CH455_SGA.5.25",2008
"CH455_SGA.5.26",2008
"CH455_SGA.5.28",2008
"CH455_SGA.5.29",2008
"CH455_SGA.5.30",2008
"CH455_SGA.5.31",2008
"CH455_SGA.5.32",2008
"CH492",2008
"CH492_SGA.1A12",2008
"CH492_SGA.1A5",2008
"CH492_SGA.1A7",2008
"CH492_SGA.1A8",2008
"CH492_SGA.1A9",2008
"CH492_SGA.1B11",2008
"CH492_SGA.1B5",2008
"CH492_SGA.1D12",2008
"CH492_SGA.1D2",2008
"CH492_SGA.1D3",2008
"CH492_SGA.1D4",2008
"CH492_SGA.1D6",2008
"CH492_SGA.1E1",2008
"CH492_SGA.1E10",2008
"CH492_SGA.1E9",2008
"CH492_SGA.1F1",2008
"CH492_SGA.1F11",2008
"CH492_SGA.1G11",2008
"CH492_SGA.1G3",2008
"CH492_SGA.1H1",2008
"CH492_SGA.1H11",2008
"CH492_SGA.1H4",2008
"CH492_SGA.1H8",2008
"CH492_SGA.2A4",2008
"CH492_SGA.2B7",2008
"CH492_SGA.2B8",2008
"CH492_SGA.2C12",2008
"CH492_SGA.2C6",2008
"CH492_SGA.2D2",2008
"CH492_SGA.2E7",2008
"CH492_SGA.2F5",2008
"CH492_SGA.2F8",2008
"CH492_SGA.2G12",2008
"CH492_SGA.2G3",2008
"CH492_SGA.2G4",2008
"CH492_SGA.2G6",2008
"CH492_SGA.2G8",2008
"CH492_SGA.2H8",2008
"CH58d154_3A1",2007
"CH58d154_5A1",2007
"CH58d154_5C2",2007
"CH58d350_3B1",2007
"CH58d350_3B2",2007
"CH58d350_5C1",2007
"CH58d350_5C2",2007
"CH58d350_5C3",2007
"CH58d45_3A1",2006
"CH58d45_3A2",2006
"CH58d45_3A3",2006
"CH58d45_3A5",2006
"CH58d45_3A6",2006
"CH58d45_3B3",2006
"CH58d45_3B4",2006
"CH58d45_3B5",2006
"CH58d45_3B7",2006
"CH58d45_5A2",2006
"CH58d45_5A4",2006
"CH58d45_5C1",2006
"CH58d45_5C10",2006
"CH58d45_5C12",2006
"CH58d45_5C2",2006
"CH58d45_5C3",2006
"CH58d45_5C6",2006
"CH58d45_5C8",2006
"CH58d85_3A1",2006
"CH58d85_3A2",2006
"CH58d85_3B1",2006
"CH58d85_3B2",2006
"CH58d85_3B3",2006
"CH58d85_3B4",2006
"CH58d85_3B5",2006
"CH58d85_3B6",2006
"CH58d85_3B7",2006
"CH58d85_5A1",2006
"CH58d85_5C1",2006
"CH58d85_5C2",2006
"CH58d85_5C3",2006
"CH58d85_5C4",2006
"CH58d85_5C5",2006
"CH58d85_5C7",2006
"CH58d85_5C8",2006
"CH58d85_5C9",2006
"CH58E_flA1",2006
"CH58E_flA6",2006
"CH58E_flA7",2006
"CH58E_flA8",2006
"CH58E_flA9",2006
"CH58E_flC4",2006
"CH58E_flC5",2006
"CH58S_N1",2006
"CH58S_N11",2006
"CH58S_N12",2006
"CH58S_N14",2006
"CH58S_N16",2006
"CH58S_N3",2006
"CH58S_N4",2006
"CH58S_N5",2006
"CH58S_N6",2006
"CH58S_N7",2006
"CH58S_N8",2006
"CH58S_N9",2006
"CH58S_P11",2006
"CH58S_P13",2006
"CH58S_P15",2006
"CH58S_P16",2006
"CH58S_P17",2006
"CH58S_P18",2006
"CH58S_P2",2006
"CH58S_P22",2006
"CH58S_P6",2006
"CH58S_P7",2006
"CH58S_P8",2006
"CH58S_P9",2006
"CH596",2008
"CH596_SGA.1A11",2008
"CH596_SGA.1B10",2008
"CH596_SGA.1B11",2008
"CH596_SGA.1C1",2008
"CH596_SGA.1C5",2008
"CH596_SGA.1C9",2008
"CH596_SGA.1D2",2008
"CH596_SGA.1D4",2008
"CH596_SGA.1D8",2008
"CH596_SGA.1D9",2008
"CH596_SGA.1E11",2008
"CH596_SGA.1E12",2008
"CH596_SGA.1E7",2008
"CH596_SGA.1F2",2008
"CH596_SGA.1F5",2008
"CH596_SGA.1F6",2008
"CH596_SGA.1G11",2008
"CH596_SGA.1G12",2008
"CH596_SGA.1G7",2008
"CH596_SGA.1G9",2008
"CH596_SGA.1H11",2008
"CH596_SGA.1H2",2008
"CH596_SGA.1H7",2008
"CH596_SGA.1H9",2008
"CH596_SGA.2A12",2008
"CH596_SGA.2A5",2008
"CH596_SGA.2A7",2008
"CH596_SGA.2C4",2008
"CH596_SGA.2D5",2008
"CH596_SGA.2D7",2008
"CH596_SGA.2E1",2008
"CH596_SGA.2E10",2008
"CH596_SGA.2E3",2008
"CH596_SGA.2F5",2008
"CH596_SGA.2F7",2008
"CH596_SGA.2G2",2008
"CH596_SGA.2G6",2008
"CH596_SGA.2H1",2008
"CH596_SGA.2H5",2008
"CH728",2008
"CH728.PL.280708.UT.15",2008
"CH728.PL.280708.UT.16",2008
"CH728_SGA.20.01",2008
"CH728_SGA.20.02",2008
"CH728_SGA.20.04",2008
"CH728_SGA.20.05",2008
"CH728_SGA.20.06",2008
"CH728_SGA.20.12",2008
"CH728_SGA.20.14",2008
"CH728_SGA.20.15",2008
"CH728_SGA.20.18",2008
"CH728_SGA.20.19",2008
"CH728_SGA.20.21",2008
"CH728_SGA.20.25",2008
"CH728_SGA.20.26",2008
"CH728_SGA.20.28",2008
"CH728_SGA.20.29",2008
"CH728_SGA.5.02",2008
"CH728_SGA.5.03",2008
"CH728_SGA.5.04",2008
"CH728_SGA.5.14",2008
"CH742",2008
"CH742.SE.082708.BE.1",2008
"CH742_SGA.1B3",2008
"CH742_SGA.1B9",2008
"CH742_SGA.1C8",2008
"CH742_SGA.1C9",2008
"CH742_SGA.1D11",2008
"CH742_SGA.1D6",2008
"CH742_SGA.1D7",2008
"CH742_SGA.1E1",2008
"CH742_SGA.1E2",2008
"CH742_SGA.1E9",2008
"CH742_SGA.1F8",2008
"CH742_SGA.1G3",2008
"CH742_SGA.1G4",2008
"CH742_SGA.1G8",2008
"CH742_SGA.1H9",2008
"CH742_SGA.2A3",2008
"CH742_SGA.2B11",2008
"CH742_SGA.2D11",2008
"CH742_SGA.2D7",2008
"CH742_SGA.2D8",2008
"CH742_SGA.2E10",2008
"CH742_SGA.2E11",2008
"CH742_SGA.2E3",2008
"CH742_SGA.2E6",2008
"CH742_SGA.2F4",2008
"CH742_SGA.2G11",2008
"CH742_SGA.2G6",2008
"CH742_SGA.2G8",2008
"CH77d102_B1",2006
"CH77d102_C1",2006
"CH77d102_C2",2006
"CH77d102_C3",2006
"CH77d102_E1",2006
"CH77d102_TA1",2006
"CH77d102_TA2",2006
"CH77d102_TB1",2006
"CH77d102_TB2",2006
"CH77d159_B1",2007
"CH77d159_B2",2007
"CH77d159_B3",2007
"CH77d159_B4",2007
"CH77d159_C1",2007
"CH77d159_C3",2007
"CH77d159_C4",2007
"CH77d159_C5",2007
"CH77d159_T1",2007
"CH77d159_TA1",2007
"CH77d159_TA2",2007
"CH77d159_TA3",2007
"CH77d159_TA4",2007
"CH77d159_TA6",2007
"CH77d159_TB1",2007
"CH77d159_TB2",2007
"CH77d159_TB3",2007
"CH77d159_TB4",2007
"CH77d159_TB5",2007
"CH77d159_TB6",2007
"CH77d159_TB7",2007
"CH77d32_B1",2006
"CH77d32_D1",2006
"CH77d32_D2",2006
"CH77d32_D3",2006
"CH77d32_T1",2006
"CH77d32_TA1",2006
"CH77d32_TB1",2006
"CH77d32_TB2",2006
"CH77d32_TB4",2006
"CH77d32_TB5",2006
"CH77d32_TB6",2006
"CH77d32_TB7",2006
"CH77d32_TB8",2006
"CH77d32_TC13",2006
"CH77d32_TC15",2006
"CH77d32_TC2",2006
"CH77d32_TC3",2006
"CH77d32_TC4",2006
"CH77E_flA1",2006
"CH77E_flA2",2006
"CH77E_flB3",2006
"CH77E_flC3",2006
"CH77E_flC4",2006
"CH77E_flC7",2006
"CH77E_flC9",2006
"CH77E_flD5",2006
"CH77E_L2",2006
"CH77E_L4",2006
"CH77E_L5",2006
"CH77E_L6",2006
"CH77E_L7",2006
"CH77E_L8",2006
"CH77E_M1",2006
"CH77E_M2",2006
"CH77E_M21",2006
"CH77E_M22",2006
"CH77E_M24",2006
"CH77E_M25",2006
"CH77E_M26",2006
"CH77E_M3",2006
"CH77E_M4",2006
"CH77E_M6",2006
"CH77E_O1",2006
"CH77E_O2",2006
"CH77E_O3",2006
"CH77E_O4",2006
"CH77E_O5",2006
"CH77E_O7",2006
"CH77S_C1",2006
"CH77S_E1",2006
"CH77S_G2",2006
"CH77S_H9",2006
"CH77S_O1",2006
"CH77S_O10",2006
"CH77S_O11",2006
"CH77S_O12",2006
"CH77S_O13",2006
"CH77S_O14",2006
"CH77S_O16",2006
"CH77S_O17",2006
"CH77S_O19",2006
"CH77S_O20",2006
"CH77S_O21",2006
"CH77S_O9",2006
"CH831",2008
"CH831_SGA.10S50",2008
"CH831_SGA.11S51",2008
"CH831_SGA.12S52",2008
"CH831_SGA.14S54",2008
"CH831_SGA.15S55",2008
"CH831_SGA.17S57",2008
"CH831_SGA.19S59",2008
"CH831_SGA.1S41",2008
"CH831_SGA.20S60",2008
"CH831_SGA.22S62",2008
"CH831_SGA.23S63",2008
"CH831_SGA.25S65",2008
"CH831_SGA.26S66",2008
"CH831_SGA.28S68",2008
"CH831_SGA.29S69",2008
"CH831_SGA.2S42",2008
"CH831_SGA.34S74",2008
"CH831_SGA.35S75",2008
"CH831_SGA.36S76",2008
"CH831_SGA.37S77",2008
"CH831_SGA.38S78",2008
"CH831_SGA.39S79",2008
"CH831_SGA.3S43",2008
"CH831_SGA.40S80",2008
"CH831_SGA.41S81",2008
"CH831_SGA.42S82",2008
"CH831_SGA.43S83",2008
"CH831_SGA.44S84",2008
"CH831_SGA.45S85",2008
"CH831_SGA.46S86",2008
"CH831_SGA.47S87",2008
"CH831_SGA.48S88",2008
"CH831_SGA.4S44",2008
"CH831_SGA.52S92",2008
"CH831_SGA.53S93",2008
"CH831_SGA.56S96",2008
"CH831_SGA.7S47",2008
"CH831_SGA.8S48",2008
"CH831_SGA.9S49",2008
"CH848",2008
"MCST4474",2007
"RHGA1581",2003
"STCO5453",2005
"SUMA_flC5",1991
"SUMA_flC7",1991
"SUMA_flD10",1991
"SUMA_flD3",1991
"SUMA_flE5",1991
"SUMA_flE7",1991
"TRJO_flA1",2001
"TRJO_flA2",2001
"TRJO_flA9",2001
"TRJO_flB1",2001
"TRJO_flC6",2001
"TRJO_flC9",2001
"TRJO_flD3",2001
"WARO5662",2007
"WEAU_flA11",1990
"WEAU_flE1",1990
"WEAU_flE3",1990
"WEAU_flE8",1990
"WEAU_flF2",1990
"WEAU_flF5",1990
"WEAU_flF6",1990
"WEAU_flF7",1990
"WEAU_flF9",1990
"WITO_flA1",2000
"WITO_flA2",2000
"WITO_flB3",2000
"WITO_flC1",2000
"WITO_flC10",2000
"WITO_flC3",2000
"WITO_flC4",2000
"WITO_flC9",2000
"WITO_flD5",2000
"WITO_flE1",2000
"WITO_flE10",2000
"WITO_flE11",2000
"WITO_flE2",2000
"WITO_flE3",2000
"WITO_flF2",2000
"WITO_flF4",2000
"WITO_flG7",2000
"WITO_flH3",2000
"ZM013F",1999
"ZM013M",1999
"ZM071F",1998
"ZM071M",1998
"ZM1.25F",2000
"ZM1.25M",2000
"ZM1.9F_25-Jan-2008",2008
"ZM1000F",2005
"ZM1003F",2005
"ZM1006F",2007
"ZM1006M",2007
"ZM1006M",2008
"ZM1006M",2009
"ZM1006M_18-Apr-2007",2007
"ZM1008F",2007
"ZM1008M",2007
"ZM1008M",2008
"ZM1008M",2009
"ZM1008M_14-Mar-2007",2007
"ZM1009F",2005
"ZM1013F",2005
"ZM1016M",2005
"ZM1017F",2005
"ZM1019F",2005
"ZM1020M",2005
"ZM1021M",2005
"ZM1022F",2005
"ZM1022M_28-Apr-2007",2007
"ZM1023F",2007
"ZM1023M",2007
"ZM1023M",2008
"ZM1023M",2009
"ZM1023M_26-May-2007",2007
"ZM1024F",2006
"ZM1024F",2007
"ZM1024F",2008
"ZM1024F_02-Dec-2006",2006
"ZM1024M",2006
"ZM1025F",2005
"ZM1026F",2005
"ZM1027F",2005
"ZM1033M",2005
"ZM1034F",2005
"ZM1039F",2005
"ZM103F_17-Sep-2008",2008
"ZM1040F",2005
"ZM1043F",2006
"ZM1043M",2006
"ZM1043M",2007
"ZM1043M",2008
"ZM1043M_23-Feb-2006",2006
"ZM1044F",2006
"ZM1044M",2006
"ZM1044M",2007
"ZM1044M",2008
"ZM1044M_25-Mar-2006",2006
"ZM1047M_14-Aug-2007",2007
"ZM1048F",2005
"ZM1050F",2005
"ZM1057F",2006
"ZM1057M",2006
"ZM1057M",2007
"ZM1057M",2008
"ZM1057M_28-Jan-2006",2006
"ZM1065F",2006
"ZM1065M",2006
"ZM1065M",2007
"ZM1065M",2008
"ZM1065M_04-Aug-2006",2006
"ZM1067F",2009
"ZM1067M",2009
"ZM1067M_31-Jul-2009",2009
"ZM106F_04-Sep-2008",2008
"ZM1072M_16-Aug-2006",2006
"ZM1076F",2006
"ZM1076M",2006
"ZM1076M",2007
"ZM1076M",2008
"ZM1076M_28-Oct-2006",2006
"ZM1078F",2005
"ZM1079M",2005
"ZM107F",2000
"ZM107M",2000
"ZM1082F",2006
"ZM1082F",2007
"ZM1082F",2008
"ZM1082F_13-Sep-2006",2006
"ZM1082M",2006
"ZM1084M",2005
"ZM1085M",2006
"ZM108F",1999
"ZM1093M",2005
"ZM1094F",2008
"ZM1094F_04-Jul-2008",2008
"ZM1094M",2008
"ZM1095F",2005
"ZM1097F",2005
"ZM1098F",2005
"ZM1100M",2005
"ZM1114M_19-Jul-2007",2007
"ZM1115M",2005
"ZM1116F",2005
"ZM1117F",2005
"ZM1123F",2008
"ZM1123M",2008
"ZM1123M_15-May-2008",2008
"ZM1124F",2006
"ZM1124F",2007
"ZM1124F",2008
"ZM1124F_18-May-2006",2006
"ZM1124M",2006
"ZM1125M_07-Apr-2006",2006
"ZM1128F",2005
"ZM1131F",2005
"ZM1132M",2005
"ZM1133M",2005
"ZM1135F",2005
"ZM1137M",2005
"ZM1138F",2005
"ZM1143M",2005
"ZM1146F_04-Jan-2008",2008
"ZM1147F",2005
"ZM1149M_17-Mar-2007",2007
"ZM1150F",2005
"ZM1151M",2005
"ZM1152M",2005
"ZM1154F",2005
"ZM1160F",2005
"ZM1162M",2005
"ZM1163M",2005
"ZM1164F",2005
"ZM1165F",2006
"ZM1165M",2006
"ZM1165M",2007
"ZM1165M",2008
"ZM1165M_16-Mar-2006",2006
"ZM1166F",2006
"ZM1166M",2006
"ZM1166M",2007
"ZM1166M",2008
"ZM1166M_04-Feb-2006",2006
"ZM1167F",2007
"ZM1167M",2007
"ZM1167M",2008
"ZM1167M",2009
"ZM1167M_10-Apr-2007",2007
"ZM1169M",2006
"ZM1171M",2005
"ZM1172F",2005
"ZM1177F",2005
"ZM1180F",2006
"ZM1180M",2006
"ZM1180M",2007
"ZM1180M",2008
"ZM1180M_21-Apr-2006",2006
"ZM1181F",2005
"ZM1183M",2005
"ZM1188F",2005
"ZM1189M",2005
"ZM1192M",2005
"ZM1194F",2005
"ZM1196F",2005
"ZM1201F",2005
"ZM1206M",2005
"ZM1209F",2008
"ZM1209M",2005
"ZM1209M",2008
"ZM1211M",2005
"ZM1213M_18-Feb-2006",2006
"ZM1219M",2005
"ZM1221M",2005
"ZM1223M",2005
"ZM1230M",2005
"ZM1235M",2005
"ZM1239F",2006
"ZM1243M",2005
"ZM1247F",2005
"ZM1249F",2005
"ZM125F",2000
"ZM125M",2000
"ZM1286F",2005
"ZM1286F",2008
"ZM1286M",2008
"ZM1286M_12-Jun-2008",2008
"ZM12F",2000
"ZM12M",2000
"ZM1317F",2005
"ZM1317M",2005
"ZM1317M",2006
"ZM1317M",2007
"ZM1317M",2008
"ZM1317M_13-Dec-2005",2005
"ZM131F",1998
"ZM131M",1998
"ZM132F",2000
"ZM132M",2000
"ZM135F",1999
"ZM1385M_21-Mar-2006",2006
"ZM13F",1999
"ZM1413F",2007
"ZM1413M",2007
"ZM1413M",2008
"ZM1413M",2009
"ZM1413M_13-Jun-2007",2007
"ZM1427M",2006
"ZM1439F",2005
"ZM1440F",2005
"ZM1443M",2005
"ZM1445F",2005
"ZM1450M",2005
"ZM1454F",2006
"ZM1455M",2006
"ZM145F",2000
"ZM145M",2000
"ZM1464F",2006
"ZM1464M_10-Mar-2007",2007
"ZM1465M",2006
"ZM1469F",2006
"ZM1472M",2006
"ZM1473M",2006
"ZM1477F",2006
"ZM1480F",2007
"ZM1480F",2008
"ZM1480F_11-Apr-2007",2007
"ZM1480M",2007
"ZM1482F",2006
"ZM1483F",2006
"ZM1486M",2006
"ZM1489M",2006
"ZM148M_14-Apr-2009",2009
